y1	y2	y3	y4	y5
-4.651724 5.51196 -0.2684296 -0.9383203 -2.269683
-6.006178 4.401262 0.4359434 -3.281483 -3.996646
-6.269307 2.693569 0.06130735 -1.05003 -2.354127
-5.402627 2.872334 0.03016473 -1.110152 -2.43315
-5.311712 3.438247 0.8020467 -0.5519927 -1.51415
-4.999454 4.26713 -1.249284 -1.090289 -1.130499
-5.700624 4.282475 0.5206574 1.496185 -1.352141
-6.307022 5.447126 0.5926595 1.518271 2.215569
-7.126522 6.333428 -0.9484789 0.1686823 0.7136842
-6.917596 6.289786 -0.4809552 0.6252594 0.6912784
-5.918508 7.169956 -1.834182 0.2472235 0.4274527
-5.030813 6.778795 -2.420215 -0.1404242 -0.2178888
-7.886319 6.765428 -1.786926 -0.2214629 -2.315001
-6.282922 6.647045 0.6545104 -1.259405 -1.696249
-6.412657 5.894918 1.911714 0.2218716 -3.013608
-6.429527 5.801868 0.8089429 1.512112 -2.070489
-6.30632 4.94764 0.3492663 -1.674744 -2.288319
-4.636774 4.486161 0.000386117 -1.008338 -1.944966
-3.939326 5.304077 -0.03892438 -1.723724 -1.976742
-3.934412 3.335741 -0.5665983 -1.531893 -2.427745
-3.184497 4.128262 -0.9376222 0.282554 -2.755253
-3.668761 3.280055 -1.964023 0.2328132 -3.667167
-4.177166 4.6109 -0.4610472 -0.7443416 -5.034851
-2.76803 3.994026 -0.1849923 -0.4543654 -3.879357
-3.71249 3.546259 -0.839865 -0.3917391 -3.911611
-2.647308 3.994626 -1.243746 0.5825609 -2.640645
-2.402117 2.782223 0.8055904 -1.674852 -2.630627
-1.249474 3.170233 0.831467 0.03677812 -1.619458
-1.412987 2.892263 0.7342701 -1.066056 -1.538062
-2.277962 2.799387 1.963839 -1.258301 -0.7223455
-2.169771 2.276115 1.031425 -0.2215235 -1.465087
-2.775593 0.6758773 0.8677632 0.1634005 -1.137913
-2.976777 1.381804 1.355209 0.2094386 0.2758726
-3.927257 2.695664 0.6008569 -2.779088 -0.3530365
-2.579145 0.2890525 -0.4117198 -2.203456 -0.789046
-3.468263 -0.5788104 -0.2280312 -0.1051943 0.6940585
-3.113428 0.3093339 -0.5020915 -0.1066935 -0.8448645
-3.814808 0.8966406 -0.9115087 -2.031118 -0.2125173
-3.412434 1.290895 -2.385928 -0.3141094 0.2966428
-2.082441 1.75548 -2.476298 0.01171049 0.9493514
-1.434016 0.1009161 -3.322461 -0.9510891 0.5909313
-1.380007 -0.7201323 -2.250655 -1.987798 -0.02776587
-3.63991 0.3162495 -0.2179544 -0.9415124 -0.1441991
-4.832706 0.8959836 -1.029232 -2.15439 -0.8349378
-4.92272 0.4231251 -1.534582 -1.713006 -2.043783
-5.025332 0.9570169 -0.9825566 -1.544141 -1.903988
-5.275438 2.173675 0.1978357 0.03638567 -1.19091
-5.290739 2.595029 -1.348482 0.3074593 -1.176187
-4.524147 2.732633 -1.134812 -0.8573945 -1.44423
-5.815329 3.210912 -1.598882 -0.7050871 0.2223162
-4.955133 3.060509 -1.529449 -1.879332 -0.4581023
-5.674321 2.239349 -0.149698 -0.274671 0.475442
-5.15341 2.669328 0.07635211 0.8360956 -0.9013181
-4.779725 1.675749 0.5690492 1.001002 1.181174
-3.683833 1.450405 -0.4572132 0.6454638 1.67611
-3.457836 1.043407 1.379112 -1.050792 2.01697
-3.865394 0.7951714 -1.462642 -0.5138388 1.044661
-5.111147 2.413453 -0.2724749 -0.6248108 0.3755253
-4.194423 2.622384 -0.2104761 1.23197 0.0599576
-2.908414 3.745964 1.186244 0.3527617 0.7406358
-2.855134 5.44917 1.445332 -2.465214 1.838292
-2.36195 6.955215 0.03188762 -1.369118 1.607551
-4.462155 7.251417 0.4460725 0.3027955 1.934096
-2.870506 7.439847 -1.199929 2.350174 0.3748305
-2.339493 6.665096 -0.9655064 1.007442 -0.2503912
-2.378499 5.256064 -2.434799 0.1073984 -0.3895933
-2.994294 5.603695 -1.074718 0.0002353633 -0.4055189
-2.906116 6.290731 0.9666583 -0.05181935 -0.1459322
-3.172283 6.570442 0.5421198 -0.3837248 -0.1901176
-1.825842 4.92841 -0.4156273 -1.031191 0.5270164
0.1892687 5.197833 -0.2506095 0.9259655 0.2377513
-0.06536609 3.690536 -0.5915244 -0.7626589 -0.2439461
-1.688903 5.688545 0.6288856 -2.813107 -2.202038
-0.5755921 6.186498 0.4204315 -2.77924 -3.157598
0.6880009 5.898598 0.5502929 -2.525436 -2.868118
1.351743 7.699505 0.7048521 -3.235346 -2.513821
0.9036557 6.562204 1.864891 -1.898982 -2.151911
0.6614942 7.010718 2.215316 -3.061571 -1.986875
