Month,"University of California, Santa Cruz: (United States)"
2004-02,74
2004-03,100
2004-04,84
2004-05,82
2004-06,87
2004-07,64
2004-08,75
2004-09,93
2004-10,90
2004-11,95
2004-12,71
2005-01,87
2005-02,78
2005-03,94
2005-04,78
2005-05,80
2005-06,72
2005-07,64
2005-08,65
2005-09,80
2005-10,80
2005-11,81
2005-12,54
2006-01,72
2006-02,65
2006-03,90
2006-04,85
2006-05,72
2006-06,84
2006-07,58
2006-08,60
2006-09,78
2006-10,76
2006-11,78
2006-12,57
2007-01,76
2007-02,70
2007-03,80
2007-04,89
2007-05,77
2007-06,69
2007-07,58
2007-08,57
2007-09,71
2007-10,74
2007-11,83
2007-12,60
2008-01,73
2008-02,71
2008-03,86
2008-04,90
2008-05,79
2008-06,67
2008-07,56
2008-08,56
2008-09,77
2008-10,77
2008-11,75
2008-12,61
2009-01,73
2009-02,69
2009-03,86
2009-04,87
2009-05,79
2009-06,66
2009-07,51
2009-08,55
2009-09,75
2009-10,72
2009-11,72
2009-12,51
2010-01,65
2010-02,64
2010-03,83
2010-04,81
2010-05,72
2010-06,57
2010-07,44
2010-08,44
2010-09,68
2010-10,64
2010-11,62
2010-12,48
2011-01,64
2011-02,58
2011-03,75
2011-04,71
2011-05,65
2011-06,55
2011-07,46
2011-08,47
2011-09,61
2011-10,59
2011-11,62
2011-12,41
2012-01,53
2012-02,55
2012-03,72
2012-04,71
2012-05,61
2012-06,55
2012-07,41
2012-08,42
2012-09,53
2012-10,57
2012-11,56
2012-12,41
2013-01,51
2013-02,53
2013-03,63
2013-04,65
2013-05,55
2013-06,47
2013-07,38
2013-08,40
2013-09,51
2013-10,54
2013-11,54
2013-12,39
2014-01,48
2014-02,49
2014-03,60
2014-04,63
2014-05,54
2014-06,44
2014-07,37
2014-08,38
2014-09,42
2014-10,54
2014-11,49
2014-12,40
2015-01,45
2015-02,44
2015-03,62
2015-04,58
2015-05,54
2015-06,40
2015-07,34
2015-08,36
2015-09,47
2015-10,47
2015-11,47
2015-12,32
2016-01,45
2016-02,44
2016-03,60
2016-04,53
2016-05,48
2016-06,39
2016-07,34
2016-08,35
2016-09,49
2016-10,44
2016-11,46
2016-12,32
2017-01,42
