Ozone Longitude Latitude Altitude
0.05031 -73.585128 41.004657 3
0.047622 -73.443056 41.399167 116
0.049994 -73.103056 41.1525 3
0.04883 -73.336667 41.118333 4
0.046219 -72.631667 41.784722 15
0.047549 -73.297257 41.821342 505
0.047497 -72.630015 41.552196 58
0.0455 -72.902871 41.3014 3.6
0.04871 -72.55327 41.256788 3
0.046394 -72.07882 41.35362 49
0.043706 -72.388056 41.976389 265
0.043582 -72.010368 41.84046 209
0.044467 -75.5568 38.986672 0
0.043184 -75.732 39.5513 20
0.047314 -75.563889 39.817222 0
0.044267 -75.496389 39.773889 0
0.046798 -75.558056 39.739444 0
0.044337 -75.6106 38.6539 0
0.045854 -75.16323 38.7791 0
0.044483 -77.013178 38.921847 50
0.045684 -77.016715 38.970092 15
0.036377 -70.124608 43.974622 50
0.032632 -68.033006 46.696431 540
0.033247 -68.4135 46.6041 235
0.038611 -70.207324 43.561043 24
0.0427 -68.22698 44.351697 466
0.039895 -68.2609 44.37705 130
0.038131 -69.785 44.230622 55
0.038959 -69.26059 43.917955 9
0.033628 -70.860605 44.250922 213
0.024213 -68.647677 44.952043 4
0.03782 -68.670752 44.735978 250
0.035947 -69.82778 44.005 3
0.037022 -67.59587 44.531907 10
0.03612 -67.060728 44.963633 8.22
0.036196 -70.629138 43.656764 275
0.038383 -70.87734 43.58889 3
0.04019 -70.471034 43.343167 6
0.046071 -76.653056 38.9025 44
0.04995 -76.631673 39.462029 126
0.045304 -76.474444 39.310833 5
0.046493 -76.617194 38.536722 44
0.04575 -77.042252 39.444294 226
0.047188 -75.860051 39.701444 128
0.046738 -76.811864 38.508547 49
0.041642 -76.141006 38.587525 0
0.045944 -76.111274 38.444971 4
0.046242 -77.37519 39.42276 92
0.044638 -79.012 39.70595 776.63
0.04538 -76.296946 39.410191 6
0.046044 -76.203889 39.563333 395
0.047036 -75.797317 39.305021 18
0.046307 -77.106876 39.114313 126
0.046552 -76.878333 39.055277 49
0.046351 -76.74417 38.81194 12
0.046458 -76.8171 39.0284 46
0.045341 -77.720244 39.564178 183
0.04742 -76.553075 39.328807 49
0.043019 -70.023598 41.975804 41
0.042322 -71.169235 41.685707 59
0.040791 -70.897504 41.645381 4
0.039291 -70.785225 41.330469 10
0.041854 -70.970816 42.474642 52
0.041023 -70.817783 42.814412 2
0.039365 -71.10229 42.770837 0
0.038872 -72.596689 42.605816 267
0.043492 -72.555112 42.19438 79
0.042784 -72.334079 42.298493 312
0.041045 -71.362068 42.62668 19.22
0.043639 -71.11397 42.211774 192
0.042429 -71.012129 42.065106 1
0.035062 -71.0826 42.3295 6
0.041383 -71.875511 42.274319 306
0.039 -71.619399 42.099699 306
0.037169 -71.496361 43.566111 216
0.037961 -72.272389 42.930472 145
0.050232 -71.30375 44.270167 1910
0.035648 -71.217694 44.308167 449
0.035901 -72.309583 43.629611 171
0.033844 -71.700788 43.944519 258
0.040359 -71.522427 42.718664 59
0.043434 -71.878389 42.86175 694
0.039601 -71.5145 43.2185 110.3
0.039945 -70.748017 43.075371 10
0.041911 -70.713806 43.045278 9
0.041852 -71.380172 42.862536 108
0.044353 -74.448736 39.464872 5
0.042995 -73.991994 40.870436 1
0.0463415 -75.125291 39.934446 4
0.0470045 -74.861491 39.68425 33
0.043109 -75.025204 39.422273 22
0.039635 -74.192892 40.720989 27
0.046301 -75.212119 39.800339 12
0.0434915 -74.126081 40.67025 3
0.043393 -74.806671 40.515262 45
0.0451755 -74.742644 40.283092 30
0.046863 -74.8729 40.3125 61
0.045634 -74.429439 40.462182 19
0.04452 -74.0051 40.277647 8
0.0428345 -74.676301 40.787628 278
0.046906 -74.44405 40.06483 41
0.043095 -74.255544 41.058617 307
0.0372045 -75.067815 40.92458 146
0.045034 -71.72 41.615237 67
0.044821 -71.36097 41.841039 15
0.045989 -71.423705 41.49511 0
0.041904 -73.24984 42.88759 241
0.04004 -72.86884 44.52839 392
